CRYPTO_NAME,ABBREVIATION
BITCOIN,BTC
ETHEREUM,ETH
BNB,BNB
CARDANO,ADA
XRP,XRP
SOLANA,SOL
TERRA,LUNA
DOGECOIN,DOGE
POLKADOT,DOT
AVALANCHE,AVAX
POLYGON,MATIC
SHIBA INU,SHIB
DAI,DAI
COSMOS,ATOM
LITECOIN,LTC
CHAINLINK,LINK
UNISWAP,UNI
NEAR PROTOCOL,NEAR
ALGORAND,ALGO
TRON,TRX
FTX TOKEN,FTT
FANTOM,FTM
STELLAR,XLM
DECENTRALAND,MANA
INTERNET COMPUTER,ICP
HEDERA,HBAR
VECHAIN,VET
UNUS SED LEO,LEO
ETHEREUM CLASSIC,ETC
THE SANDBOX,SAND
KLATLYN,KLAY
FILECOIN,FIL
HELIUM,HNT
ELROND,EGLD
THETA NETWORK,THETA
AXIE INFINITY,AXS
MONERO,XMR
TEZOS,XTZ
